id,name,birthdate,deathdate
796,Bill Muir,,
797,Bill Murray,9/21/1950,
798,Bill Nunn,10/20/1953,9/24/2016
799,Bill Paterson,6/3/1945,
800,Bill Paxton,5/17/1955,2/25/2017
801,Bill Plympton,4/30/1946,
802,Bille August,11/9/1948,
803,Bille Woodruff,,
804,Billie Burke,1884-08-07,5/14/1970
805,Billie Whitelaw,6/6/1932,12/21/2014
806,Billy Aaron Brown,7/28/1981,
807,Billy Barty,10/25/1924,12/23/2000
808,Billy Blair,,
809,Billy Bob Thornton,8/4/1955,
810,Billy Boyd,8/28/1968,
811,Billy Brown,,
812,Billy Burke,11/25/1966,
813,Billy Campbell,7/7/1959,
814,Billy Crudup,7/8/1968,
815,Billy Drago,11/30/1945,
816,Billy Gardell,8/20/1969,
817,Billy Gilbert,1880-03-21,1/20/1971
818,Billy Kent,,
819,Billy Ray,,
820,Billy West,4/16/1952,
821,Billy Wilder,6/22/1906,3/27/2002
822,Bin Won,11/10/1977,
823,Bingbing Fan,9/16/1981,
824,Bingbing Li,2/27/1973,
825,Bipasha Basu,1/7/1979,
826,Birgitte Hjort Sørensen,1/16/1982,
827,Birol Ünel,8/18/1961,
828,Björk,,
829,Björn Hlynur Haraldsson,,
830,Bjørn Sundquist,6/16/1948,
831,Black Thomas,8/28/1969,
832,Blaine Anderson,,
833,Blair Brown,4/23/1946,
834,Blair Erickson,,
835,Blair Hayes,,
836,Blair Underwood,8/25/1964,
837,Blake Edwards,7/26/1922,12/15/2010
838,Blake Lindsley,12/19/1973,
839,Blake Ritson,1/14/1978,
840,Blanchard Ryan,1/12/1967,
841,Blaz Zavrsnik,7/17/1984,
842,Blythe Auffarth,,
843,Blythe Danner,2/3/1943,
844,Bo Huang,8/26/1974,
845,Bo Welch,11/30/1951,
846,Bo Zenga,,
847,Boaz Yakin,,
848,Bob Balaban,8/16/1945,
849,Bob Clark,8/5/1939,4/4/2007
850,Bob Clendenin,4/14/1964,
851,Bob Costas,3/22/1952,
852,Bob Dole,7/22/1923,
853,Bob Dolman,,
854,Bob Dylan,5/24/1941,
855,Bob Eubanks,1/8/1938,
856,Bob Fosse,6/23/1927,9/23/1987
857,Bob Giraldi,1/17/1939,
858,Bob Gosse,1/9/1963,
859,Bob Gunton,11/15/1945,
860,Bob Hoskins,10/26/1942,4/29/2014
861,Bob Marley,2/6/1945,5/11/1981
862,Bob Neill,,
863,Bob Newhart,9/5/1929,
864,Bob Odenkirk,10/22/1962,
865,Bob Peck,8/23/1945,4/4/1999
866,Bob Proctor,,
867,Bob Rafelson,2/21/1933,
868,Bob Ross,6/26/1908,
869,Bob Saget,5/17/1956,
870,Bob Spiers,9/27/1945,12/8/2008
871,Bobb'e J. Thompson,2/28/1996,
872,Bobbie Phillips,1/29/1968,
873,Bobby Batson,,
874,Bobby Block,12/10/1928,5/13/1972
875,Bobby Brown,,
876,Bobby Coleman,5/5/1997,
877,Bobby Deol,,
878,Bobby Farrelly,6/17/1958,
879,Bobby Kendall,,
880,Bobby Lee,9/17/1972,
881,Bobby Moynihan,1/31/1977,
882,Bobby Roth,,
883,Bobcat Goldthwait,5/26/1962,
884,Bojana Novakovic,11/17/1981,
885,Bokeem Woodbine,4/13/1973,
886,Bolaji Badejo,8/23/1953,12/22/1992
887,Bolo Yeung,2/27/1946,
888,Boman Irani,12/2/1959,
889,Bonnie Henna,,
890,Bonnie Hunt,9/22/1961,
891,Bonnie Lee Bouman,,
892,Bonnie Somerville,2/24/1974,
893,Bono,5/10/1960,
894,Bonz Malone,,
895,Boris Kodjoe,3/8/1973,
896,Boris Rodriguez,,
897,Boyd Banks,4/16/1964,
898,Boyd Holbrook,9/1/1981,
899,Boys II Men,9/26/1972,
900,Brad Anderson,,
901,Brad Bird,9/24/1957,
902,Brad Copeland,,
903,Brad Furman,,
904,Brad Garrett,4/14/1960,
905,Brad J. Silverman,,
906,Brad James,,
907,Brad Lee Wind,4/10/1968,
908,Brad Leland,9/15/1954,
909,Brad Peyton,,
910,Brad Pitt,12/18/1963,
911,Brad Renfro,7/25/1982,1/15/2008
912,Brad Schmidt,5/31/1979,
913,Brad Silberling,9/8/1963,
914,Brad William Henke,4/10/1966,
915,Bradley Cooper,1/5/1975,
916,Bradley Parker,,
917,Bradley Pierce,10/23/1982,
918,Bradley Rust Gray,,
919,Bradley Whitford,10/10/1959,
920,Brady Corbet,8/17/1988,
921,Braeden Lemasters,1/27/1996,
922,Brahim Achabbakhe,5/17/1984,
923,Brahmanandam,2/1/1956,
924,Brandon Camp,,
925,Brandon Cronenberg,,
926,Brandon Landers,,
927,Brandon Middleton,,
928,Brandon Molale,11/24/1971,
929,Brandon Smith,5/29/1989,
930,Brandon T. Jackson,3/7/1984,
931,Brandon Trost,8/29/1981,
932,Brandy Norwood,2/11/1979,
933,Branko Djuric,5/28/1962,
934,Breck Eisner,12/24/1970,
935,Bree Turner,3/10/1977,
936,Bree Williamson,12/28/1979,
937,Brenda Bakke,5/15/1963,
938,Brenda Blethyn,2/20/1946,
939,Brenda Chapman,11/1/1962,
940,Brenda Fricker,2/17/1945,
941,Brenda Song,3/27/1988,
942,Brenda Strong,3/25/1960,
943,Brenda Vaccaro,11/18/1939,
944,Brendan Coyle,12/2/1963,
945,Brendan Doogie Milewski,,
946,Brendan Fehr,10/29/1977,
947,Brendan Fraser,12/3/1968,
948,Brendan Mackey,,
949,Brendan Malloy,,
950,Brendan Sexton III,2/21/1980,
951,Brendon Eggertsen,,
952,Brent Anderson,,
953,Brent David Fraser,2/21/1967,
954,Brent Neale,4/17/1963,
955,Brent Sexton,8/12/1967,
956,Brenton Spencer,,
957,Brett Cullen,8/26/1956,
958,Brett Leonard,5/14/1959,
959,Brett Piper,,
960,Brett Ratner,3/28/1969,
961,Brett Wagner,,
962,Brian A Miller,,
963,Brian Anthony Wilson,2/22/1960,
964,Brian Austin Green,7/15/1973,
965,Brian Baugh,,
966,Brian Blessed,10/9/1936,
967,Brian Bosworth,3/9/1965,
968,Brian Caunter,,
969,Brian d'Arcy James,6/29/1968,
970,Brian Dannelly,,
971,Brian De Palma,9/11/1940,
972,Brian Dennehy,7/9/1938,
973,Brian Dietzen,11/14/1977,
974,Brian Dorton,,
975,Brian Doyle-Murray,10/31/1945,
976,Brian Eno,5/15/1948,
977,Brían F. O'Byrne,5/16/1967,
978,Brian Geraghty,5/13/1975,
979,Brian Gibson,9/22/1944,1/4/2004
980,Brian Helgeland,1/17/1961,
981,Brian Henson,11/3/1963,
982,Brian Herzlinger,2/19/1976,
983,Brian Howe,,
984,Brian Johnson,,
985,Brian Keith,11/14/1921,6/24/1997
986,Brian Klugman,9/14/1975,
987,Brian Koppelman,,
988,Brian Lee Franklin,,
989,Brian Levant,8/6/1952,
990,Brian McNamara,11/21/1960,
991,Brian O'Halloran,12/20/1969,
992,Brian Percival,,
993,Brian Robbins,11/22/1963,
994,Brian Steele,,
995,Brian Stepanek,2/6/1971,
996,Brian Thompson,8/28/1959,
997,Brian Trenchard-Smith,,
998,Brian Van Holt,7/6/1969,
999,Brian Whitaker,,
1000,Brian Yuzna,,
1001,Brianna Brown,10/2/1979,
1002,Brianne Brozey,8/25/1963,
1003,Bridget Fonda,1/27/1964,
1004,Bridgette Wilson-Sampras,9/25/1973,
1005,Bridgit Mendler,12/18/1992,
1006,Brighton Sharbino,,
1007,Brigitte Bardot,9/28/1934,
1008,Brigitte Helm,3/17/1906,6/11/1996
1009,Brigitte Nielsen,7/15/1963,
1010,Brion James,2/4/1975,
1011,Brit Morgan,9/24/1987,
1012,Britney Spears,12/2/1981,
1013,Britt Allcroft,12/14/1943,
1014,Britt Ekland,10/6/1942,
1015,Brittany Curran,6/2/1990,
1016,Brittany Daniel,3/17/1976,
1017,Brittney Powell,3/4/1972,
1018,Brock Baker,,
1019,Brock Peters,7/2/1927,8/23/2005
1020,Bronagh Gallagher,,
1021,Bronwen Hughes,,
1022,Brooke Bundy,8/8/1944,
1023,Brooke Newton,6/5/1986,
1024,Brooke Shields,5/31/1965,
1025,Brooke Smith,5/22/1967,
1026,Brooklynn Proulx,4/27/1999,
1027,Bruce Alexander,,
1028,Bruce Altman,7/3/1955,
1029,Bruce Beresford,8/16/1940,
1030,Bruce Boxleitner,5/12/1950,
1031,Bruce Campbell,6/22/1958,
1032,Bruce Davison,6/28/1946,
1033,Bruce Dellis,,
1034,Bruce Dern,6/4/1936,
1035,Bruce Gooch,,
1036,Bruce Goodchild,,
1037,Bruce Green,,
1038,Bruce Greenwood,8/12/1956,
1039,Bruce Hopkins,11/25/1955,
1040,Bruce Hunt,,
1041,Bruce Kerr,,
1042,Bruce Macdonald,5/28/1959,
1043,Bruce Malmuth,2/4/1934,6/29/2005
1044,Bruce McCulloch,5/12/1961,
1045,Bruce McDonald,5/28/1959,
1046,Bruce McGill,7/11/1950,
1047,Bruce Newbold,,
1048,Bruce Paltrow,11/26/1943,10/3/2002
1049,Bruce Payne,11/22/1958,
1050,Bruce Spence,9/17/1945,
1051,Bruce Thomas,,
1052,Bruce Vilanch,11/23/1948,
1053,Bruce Willis,3/19/1955,
1054,Bruno Barreto,3/16/1955,
1055,Bruno Campos,12/3/1973,
1056,Bruno Ganz,3/22/1941,
1057,Bruno Kirby,4/28/1949,8/14/2006
1058,Bryan Barber,,
1059,Bryan Brown,6/23/1947,
1060,Bryan Callen,1/26/1967,
1061,Bryan Dick,8/23/1952,
1062,Bryan Singer,9/17/1965,
1063,Bryce Dallas Howard,3/2/1981,
1064,Bubba Smith,,
1065,Bud Cort,3/29/1948,
1066,Bunta Sugawara,8/16/1933,11/28/2014
1067,Burgess Meredith,11/16/1907,9/9/1997
1068,Burghart Klaußner,9/13/1949,
1069,Burl Ives,6/14/1909,4/14/1995
1070,Burr Steers,10/8/1965,
1071,Burt Kwouk,7/18/1930,5/24/2016
1072,Burt Ward,7/6/1945,
1073,Burt Young,4/30/1940,
1074,Buster Keaton,1895-10-04,2/1/1966
1075,Busy Philipps,6/25/1979,
1076,Buzz Aldrin,1/20/1930,
1077,Byron Howard,12/26/1968,
1078,Byron Mann,,
1079,C. Fraser Press,,
1080,C. Jay Cox,,
1081,Cabrina Collesides,,
1082,Caitlin FitzGerald,,
1083,Caitlin Stasey,5/1/1990,
1084,Caitlyn Jenner,10/28/1949,
1085,Caity Lotz,12/30/1986,
1086,Cal Brunker,,
1087,Caleb Landry Jones,12/7/1989,
1088,Callie Khouri,11/27/1957,
1089,Callie Thorne,11/20/1969,
1090,Callum Blue,8/19/1977,
1091,Callum Rennie,9/14/1960,
1092,Calvin Lockhart,10/18/1934,3/29/2007
1093,Cam Clarke,11/6/1957,
1094,Cameron Boyce,5/28/1999,
1095,Cameron Bright,1/26/1993,
1096,Cameron Crowe,7/13/1957,
1097,Cameron Mills,,
1098,Cameron Monaghan,8/16/1993,
1099,Cameron Rhodes,8/1/1967,
1100,Camille Delamarre,10/3/1979,
1101,Campbell Scott,7/19/1961,
1102,Camren Bicondova,5/22/1999,
1103,Camryn Manheim,3/8/1961,
1104,Candace Kroslak,7/22/1978,
1105,Candice Bergen,5/9/1946,
1106,Cara Delevingne,8/12/1992,
1107,Cara Horgan,,
1108,Cara Seymour,,
1109,Carel Struycken,7/30/1948,
1110,Cariba Heine,10/1/1988,
1111,Carl Franklin,4/11/1949,
1112,Carl Gilliard,4/18/1958,
1113,Carl Rinsch,,
1114,Carl Theodor Dreyer,1889-02-03,3/20/1968
1115,Carl Weathers,1/14/1948,
1116,Carla Gallo,6/24/1975,
1117,Carlease Burke,,
1118,Carlo Cecchi,1/25/1939,
1119,Carlos Alazraqui,7/20/1962,
1120,Carlos Bardem,3/7/1963,
1121,Carlos Carrera,8/18/1962,
1122,Carlos Gallardo,,
1123,Carlos Lasarte,9/14/1941,
1124,Carlos Ponce,9/4/1972,
1125,Carlos Saldanha,1/24/1965,
1126,Carlos Saura,1/4/1932,
1127,Carly Schroeder,10/18/1990,
1128,Carmen Argenziano,10/27/1943,
1129,Carmen Ejogo,10/22/1973,
1130,Carmen Electra,4/20/1972,
1131,Carmen Marron,,
1132,Carmen Maura,9/15/1945,
1133,Carmen Perez,,
1134,Carmine Giovinazzo,8/24/1973,
1135,Carol Ann Susi,2/2/1952,11/11/2014
1136,Carol Block,,
1137,Carol Channing,1/31/1921,
1138,Carol Kane,6/18/1952,
1139,Carol Reed,12/30/1906,4/25/1976
1140,Carol Sutton,,
1141,Carole Bouquet,8/18/1957,
1142,Caroline Dhavernas,5/15/1978,
1143,Caroline Goodall,11/13/1959,
1144,Caroline Link,6/2/1964,
1145,Caroline Munro,1/16/1949,
1146,Caroll Spinney,12/26/1933,
1147,Carolyn Hennesy,6/10/1962,
1148,Carrie Bradstreet,,
1149,Carrie Henn,5/7/1976,
1150,Carrie Preston,6/21/1967,
1151,Carroll Baker,5/28/1931,
1152,Carroll Ballard,10/14/1937,
1153,Carroll O'Connor,8/2/1924,6/21/2001
1154,Carter Jenkins,9/4/1991,
1155,Carter Smith,9/6/1971,
1156,Cary Bell,,
1157,Cary-Hiroyuki Tagawa,9/27/1950,
1158,Caryn Waechter,,
1159,Cas Anvar,,
1160,Casey Affleck,8/12/1975,
1161,Casey Gooden,,
1162,Casey Kasem,4/27/1932,6/15/2014
1163,Casey Siemaszko,3/17/1961,
1164,Casper Christensen,8/22/1968,
1165,Casper Crump,7/11/1977,
1166,Casper Martinez,,
1167,Cassandra Nicolaou,,
1168,Cassandra Peterson,9/17/1951,
1169,Cassidy Gifford,8/2/1993,
1170,Cassie Ventura,8/26/1986,
1171,Cat Ly,,
1172,Catalina Sandino Moreno,4/19/1981,
1173,Catherine Bell,8/14/1968,
1174,Catherine Deneuve,10/22/1943,
1175,Catherine Dent,4/14/1965,
1176,Catherine Dyer,,
1177,Catherine Gund,,
1178,Catherine Hardwicke,10/21/1955,
1179,Catherine Hicks,8/6/1951,
1180,Catherine Jelski,,
1181,Catherine Lambert,,
1182,Catherine Lough Haggquist,,
1183,Catherine McCormack,4/3/1972,
1184,Catherine O'Hara,3/4/1954,
1185,Catherine Owens,,
1186,Catherine Parks,12/10/1956,
1187,Catherine Schell,7/17/1944,
1188,Catherine Tate,5/12/1968,
1189,Cathryn de Prume,7/4/1964,
1190,Cathy Malkasian,,
1191,Cathy Moriarty,11/29/1960,
1192,Catriona MacColl,10/3/1954,
1193,CCH Pounder,12/25/1952,
1194,Cecelia Antoinette,,
1195,Cecil B. DeMille,1881-08-12,1/21/1959
1196,Cecil Kellaway,1893-08-22,2/28/1973
1197,Cécile De France,7/17/1975,
1198,Cecilia Pillado,,
1199,Cédric Klapisch,9/4/1961,
1200,Cedric Nicolas-Troyan,3/9/1969,
1201,Cedric the Entertainer,4/24/1964,
1202,Celeste Holm,4/29/1917,7/15/2012
1203,Celia Imrie,7/15/1952,
1204,Celia Weston,12/14/1951,
1205,Celina Beach,,
1206,Celina Jade,6/10/1985,
1207,Cem Yilmaz,4/23/1973,
1208,Cesar Romero,2/15/1907,1/1/1994
1209,Chad Allen,6/5/1974,
1210,Chad Bishop,,
1211,Chad Hartigan,8/31/1982,
1212,Chad Kapper,,
1213,Chad L. Coleman,9/6/1974,
1214,Chad Lindberg,11/1/1976,
1215,Chad Lowe,1/15/1968,
1216,Chan-wook Park,8/23/1963,
1217,Chandler Canterbury,12/15/1998,
1218,Channing Tatum,4/26/1980,
1219,Chao-Bin Su,,
1220,Charice,9/5/1976,
1221,Charis Michelsen,12/30/1974,
1222,Charla Cochran,3/28/1968,
1223,Charles Adelman,8/31/1976,
1224,Charles Aidman,1/21/1925,11/7/1993
1225,Charles Aznavour,5/22/1924,
1226,Charles Baker,2/27/1971,
1227,Charles Binamé,,
1228,Charles Chaplin,1889-04-16,12/25/1977
1229,Charles Ferguson,3/24/1955,
1230,Charles Grodin,4/21/1935,
1231,Charles Herman-Wurmfeld,7/5/1966,
1232,Charles Irving Beale,,
1233,Charles Keating,10/22/1941,8/8/2014
1234,Charles King,,
1235,Charles Linton,,
1236,Charles Martin Smith,10/30/1953,
1237,Charles Martinet,,
1238,Charles Matthau,12/10/1962,
1239,Charles Mesure,8/12/1970,
1240,Charles Napier,4/12/1936,10/5/2011
1241,Charles Robert Carner,4/30/1957,
1242,Charles S. Dutton,1/30/1951,
1243,Charles Shyer,10/11/1941,
1244,Charles Stone III,,
1245,Charles T. Kanganis,,
1246,Charlie Bewley,1/25/1981,
1247,Charlie Hunnam,4/10/1980,
1248,Charlie Kaufman,11/19/1958,
1249,Charlie Korsmo,7/20/1978,
1250,Charlie Levi,,
1251,Charlie McDermott,4/6/1990,
1252,Charlie Murphy,,
1253,Charlie Rowe,1/5/1942,
1254,Charlie Saxton,,
1255,Charlie Tahan,,
1256,Charlie Talbert,12/13/1978,
1257,Charlie Yeung,5/23/1974,
1258,Charlize Theron,8/7/1975,
1259,Charlotte Bøving,8/15/1964,
1260,Charlotte Le Bon,9/4/1986,
1261,Charlotte Lewis,8/7/1967,
1262,Charlotte Rae,4/22/1926,
1263,Charlotte Rampling,2/5/1946,
1264,Charlotte Stewart,2/27/1941,
1265,Charlotte Sullivan,10/21/1983,
1266,Charly Bivona,,
1267,Charlyne Yi,1/4/1986,
1268,Chase Armitage,8/2/1985,
1269,Chase Ellison,9/22/1993,
1270,Chase Masterson,2/26/1963,
1271,Chasty Ballesteros,,
1272,Chatchai Plengpanich,,
1273,Chatrichalerm Yukol,11/29/1942,
1274,Chazz Palminteri,5/15/1952,
1275,Cheech Marin,7/13/1946,
1276,Chelan Simmons,10/29/1982,
1277,Chelcie Ross,10/26/1942,
1278,Chelse Swain,5/25/1983,
1279,Chelsea Bond,,
1280,Chelsea Field,5/27/1957,
1281,Chelsea Handler,2/25/1975,
1282,Chelsey Reist,,
1283,Chemeeka Walker,,
1284,Chen Chang,10/14/1976,
1285,Chenoa Maxwell,11/16/1969,
1286,Cherami Leigh,7/19/1988,
1287,Cheri Oteri,9/19/1962,
1288,Cherry Jones,11/21/1956,
1289,Cheryl Dunye,5/13/1966,
1290,Cheryl Hines,9/21/1965,
1291,Cheryl Ladd,7/12/1951,
1292,Cheryl Penland,,
1293,Cheryl Tiegs,9/25/1947,
1294,Chester,1/20/1970,
1295,Cheyenne Jackson,7/12/1975,
1296,Chi Chung Lam,8/16/1976,
1297,Chi Ling Chiu,,
1298,Chi McBride,9/23/1961,
1299,Chi Muoi Lo,,
1300,Chia-Liang Liu,8/1/1936,6/25/2013
1301,Chiaki Kuriyama,10/10/1984,
1302,Chiara Caselli,12/22/1967,
1303,Chin-Chien Chang,,
1304,China Chow,4/15/1974,
1305,Ching Wan Lau,2/16/1964,
1306,Chita Rivera,1/23/1933,
1307,Chloe Bridges,12/27/1991,
1308,Chloë Grace Moretz,2/10/1997,
1309,Chloe Hollings,,
1310,Chloe Rose,10/25/1994,
1311,Chris 'Wonder' Schoeck,,
1312,Chris Andrew Ciulla,7/28/1975,
1313,Chris Atkins,,
1314,Chris Barrie,3/28/1960,
1315,Chris Bauer,10/28/1966,
1316,Chris Brochu,,
1317,Chris Brown,5/5/1989,
1318,Chris Buck,,
1319,Chris Butler,,
1320,Chris Carter,10/13/1956,
1321,Chris Cleveland,,
1322,Chris Columbus,9/10/1958,
1323,Chris Cox,,
1324,Chris D'Arienzo,4/14/1972,
1325,Chris Eigeman,3/1/1965,
1326,Chris Elliott,5/31/1960,
1327,Chris Ellis,4/14/1956,
1328,Chris Evans,6/13/1981,
1329,Chris Eyre,,
1330,Chris Gauthier,1/27/1976,
1331,Chris Geere,3/18/1981,
1332,Chris Gorak,,
1333,Chris Harrison,7/26/1971,
1334,Chris Hemsworth,8/11/1983,
1335,Chris Kattan,10/19/1970,
1336,Chris Kentis,10/23/1962,
1337,Chris Klein,3/14/1979,
1338,Chris Koch,,
1339,Chris Lowell,10/17/1984,
1340,Chris Marker,7/29/1921,7/29/2012
1341,Chris Marquette,10/3/1984,
1342,Chris Miller,9/23/1975,
1343,Chris Moss,,
1344,Chris Mulkey,5/3/1948,
1345,Chris Nahon,12/5/1968,
1346,Chris New,2/17/1940,
1347,Chris Noonan,11/14/1952,
1348,Chris Noth,11/13/1954,
1349,Chris Owen,9/7/1961,
1350,Chris Paine,8/26/1980,
1351,Chris Parnell,2/5/1967,
1352,Chris Penn,10/10/1965,1/24/2006
1353,Chris Pontius,7/16/1974,
1354,Chris Roberts,,
1355,Chris Robinson,11/5/1938,
1356,Chris Rock,2/7/1965,
1357,Chris Shadley,7/21/1975,
1358,Chris Stokes,,
1359,Chris Thomas,,
1360,Chris Wedge,3/20/1957,
1361,Chris Weitz,11/30/1969,
1362,Chris Young,4/28/1957,
1363,Chris Zylka,5/9/1985,
1364,Chriss Anglin,,
1365,Christa B. Allen,11/11/1991,
1366,Christa Miller,5/28/1964,
1367,Christel Khalil,11/30/1987,
1368,Christian Alvarez,7/25/1986,
1369,Christian Alvart,5/28/1974,
1370,Christian Anderson,12/26/1932,12/1/2000
1371,Christian Bale,1/30/1974,
1372,Christian Berkel,10/28/1957,
1373,Christian Camargo,7/7/1971,
1374,Christian Campbell,5/12/1972,
1375,Christian Carion,1/4/1963,
1376,Christian Clavier,5/6/1952,
1377,Christian Clemenson,3/17/1958,
1378,Christian Ditter,,
1379,Christian Duguay,,
1380,Christian E. Christiansen,12/14/1972,
1381,Christian Kapper,,
1382,Christian Keyes,,
1383,Christian Monzon,,
1384,Christian Sesma,,
1385,Christian Stolte,10/16/1962,
1386,Christian Volckman,,
1387,Christiana Leucas,,
1388,Christie Burke,,
1389,Christina Chambers,10/24/1969,
1390,Christina Cox,7/31/1971,
1391,Christina Hart,7/21/1949,
1392,Christina Milian,9/26/1981,
1393,Christina Moore,,
1394,Christina Vidal,11/18/1981,
1395,Christine Cavanaugh,8/16/1963,12/22/2014
1396,Christine Jeffs,1/29/1963,
1397,Christine Lakin,1/25/1979,
1398,Christine Taylor,7/30/1971,
1399,Christo Jivkov,2/18/1975,
1400,Christoph Waltz,10/4/1956,
1401,Christophe Ali,,
1402,Christophe Barratier,6/17/1963,
1403,Christophe Cherki,,
1404,Christophe Gans,3/11/1960,
1405,Christopher Abbott,,
1406,Christopher Atkins,2/21/1961,
1407,Christopher B. Duncan,,
1408,Christopher Barnard,,
1409,Christopher Berry,,
1410,Christopher Cain,10/29/1943,
1411,Christopher Cousins,9/27/1960,
1412,Christopher Denham,,
1413,Christopher Erskin,,
1414,Christopher Evan Welch,9/28/1965,12/2/2013
1415,Christopher Guest,2/5/1948,
1416,Christopher Heyerdahl,9/18/1963,
1417,Christopher Hutson,,
1418,Christopher James Baker,,
1419,Christopher Judge,10/13/1964,
1420,Christopher Lambert,3/29/1957,
1421,Christopher Landon,2/27/1975,
1422,Christopher Lee,5/27/1922,6/7/2015
1423,Christopher Leitch,,
1424,Christopher M. Bessette,,
1425,Christopher Masterson,1/22/1980,
1426,Christopher McQuarrie,,
1427,Christopher Meloni,4/2/1961,
1428,Christopher Morris,9/5/1965,
1429,Christopher Nicholas Smith,,
1430,Christopher Nolan,7/30/1970,
1431,Christopher Rich,9/16/1953,
1432,Christopher Robin Miller,5/29/1969,
1433,Christopher Schmidt,,
1434,Christopher Scott Cherot,,
1435,Christopher Simpson,7/9/1974,
1436,Christopher Smith,7/17/1962,
1437,Christopher Sommers,,
1438,Christopher Spencer,,
1439,Christopher Toler,11/11/1972,
1440,Christopher Webster,,
1441,Chrystale Wilson,,
1442,Chrystee Pharris,3/7/1976,
1443,Chuan Lu,2/8/1971,
1444,Chuck Bowman,6/2/1937,
1445,Chuck Mitchell,11/28/1927,6/22/1992
1446,Chuck Russell,5/9/1958,
1447,Chuck Sheetz,12/31/1960,
1448,Chuck Zito,3/1/1953,
1449,Chulpan Khamatova,10/1/1975,
1450,Ciarán Foy,,
1451,Cicely Tyson,12/18/1924,
1452,Cinda McCain,,
1453,Cindy Robinson,4/6/1968,
1454,Cindy Williams,8/22/1947,
1455,CindyMarie Small,,
1456,Circus-Szalewski,,
1457,CJ Adams,,
1458,Cjon Saulsberry,,
1459,Claire Adams,,
1460,Claire Bloom,2/15/1931,
1461,Claire Foy,4/16/1984,
1462,Claire Geare,,
1463,Claire Gordon-Harper,,
1464,Clare Higgins,11/10/1955,
1465,Clare Kilner,,
1466,Clare Kramer,9/3/1974,
1467,Clarence Williams III,8/21/1939,
1468,Clark Baker,,
1469,Clark Gregg,4/2/1962,
1470,Clark Johnson,9/10/1954,
1471,Clarke Peters,4/7/1952,
1472,Claude Akins,5/25/1926,1/27/1994
1473,Claude Chabrol,6/24/1930,9/12/2010
1474,Claude Miller,2/20/1942,4/4/2012
1475,Claude Rains,1889-11-10,5/30/1967
1476,Claude-Oliver Rudolph,11/30/1956,
1477,Claudette Colbert,9/13/1903,7/30/1996
1478,Claudette Lalí,8/1/1975,
1479,Claudia Cardinale,4/15/1938,
1480,Claudia Christian,8/10/1965,
1481,Claudia Ferri,,
1482,Claudia Lapacó,6/25/1940,
1483,Claudia Llosa,11/15/1976,
1484,Claudia Sainte-Luce,,
1485,Claudia Stedelin,,
1486,Claudiu Trandafir,9/15/1963,
1487,Clay Kaytis,,
1488,Clayne Crawford,4/20/1978,
1489,Clayton Rohner,8/5/1957,
1490,Clayton Snyder,9/9/1987,
1491,Clé Bennett,3/18/1950,
1492,Clea DuVall,9/25/1977,
1493,Cleavon Little,6/1/1939,10/22/1992
1494,Clemens Schick,2/15/1972,
1495,Cliff Edwards,1895-06-14,7/17/1971
1496,Cliff Robertson,9/9/1923,9/10/2011
1497,Clifton Collins Jr.,6/16/1970,
1498,Clifton James,1/13/1955,
1499,Clifton Powell,3/16/1956,
1500,Clint Eastwood,5/31/1930,
1501,Clint Howard,4/20/1959,
1502,Clint Jordan,,
1503,Clint Jung,,
1504,Clint Mansell,1/7/1963,
1505,Clive Barker,10/5/1952,
1506,Clive Revill,4/18/1930,
1507,Clive Russell,12/7/1945,
1508,Clive Standen,7/22/1981,
1509,Clive Swift,2/9/1936,
1510,Clotilde Mollet,,
1511,Clovis Fouin,,
1512,Clu Gulager,11/16/1928,
1513,Clyde Kusatsu,9/13/1948,
1514,Cody Cameron,10/12/1970,
1515,Cody Howard,,
1516,Cody Linley,11/20/1989,
1517,Cole Hauser,3/22/1975,
1518,Colette Divine,,
1519,Colin Andrews,9/10/1960,
1520,Colin Farrell,5/31/1976,
1521,Colin Ferguson,7/22/1972,
1522,Colin Firth,9/10/1960,
1523,Colin Higgins,7/28/1941,8/5/1988
1524,Colin Minihan,,
1525,Colin O'Donoghue,1/26/1981,
1526,Colin Salmon,12/6/1962,
1527,Colin Stinton,3/10/1947,
1528,Colin Strause,11/8/1976,
1529,Colin Trevorrow,9/13/1976,
1530,Colleen Dewhurst,6/3/1924,8/22/1991
1531,Colleen Haskell,12/6/1976,
1532,Colleen O'Shaughnessey,9/15/1971,
1533,Collette Wolfe,4/4/1980,
1534,Collin Alfredo St. Dic,,
1535,Collin Chou,8/11/1967,
1536,Collin Joseph Neal,7/5/1985,
1537,Collin Kahey,4/11/1981,
1538,Collin Schiffli,,
1539,Collins Pennie,6/20/1985,
1540,Colm Feore,8/22/1958,
1541,Common,3/13/1972,
1542,Conchata Ferrell,3/28/1943,
1543,Conleth Hill,11/24/1964,
1544,Connie Nielsen,7/3/1965,
1545,Connie Ray,7/10/1956,
1546,Connor Corum,,
1547,Connor Paolo,7/11/1990,
1548,Conor McMahon,,
1549,Conor McPherson,8/6/1971,
1550,Conrad Coates,,
1551,Conrad Dunn,,
1552,Conrad Goode,1/9/1962,
1553,Conrad Kemp,,
1554,Conrad Veidt,1893-01-22,4/3/1943
1555,Conrad Vernon,7/11/1968,
1556,Constance Marie,9/9/1965,
